 ssid      name                                 ss created           ss completed     volume         pool              size  lvl
1649348810 RMAN:Manthan_rman_MANTHAN_11_08_2019_l3u8t6gv_1_1.bkp 11-08-2019 00:15:30 11-08-2019 00:15:59 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 1281 KB full
1649348810 RMAN:Manthan_rman_MANTHAN_11_08_2019_l3u8t6gv_1_1.bkp 11-08-2019 00:15:30 11-08-2019 00:15:59 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 1281 KB full
1632571630 RMAN:Manthan_rman_MANTHAN_11_08_2019_l4u8t6i3_1_1.bkp 11-08-2019 00:16:06 11-08-2019 05:16:31 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4633 MB full
1632571630 RMAN:Manthan_rman_MANTHAN_11_08_2019_l4u8t6i3_1_1.bkp 11-08-2019 00:16:06 11-08-2019 05:16:31 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4633 MB full
1615794414 RMAN:Manthan_rman_MANTHAN_11_08_2019_l5u8t6i3_1_1.bkp 11-08-2019 00:16:06 11-08-2019 00:31:10 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 3795 MB full
1615794414 RMAN:Manthan_rman_MANTHAN_11_08_2019_l5u8t6i3_1_1.bkp 11-08-2019 00:16:06 11-08-2019 00:31:10 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 3795 MB full
1196364229 RMAN:Manthan_rman_MANTHAN_11_08_2019_l6u8t6oq_1_1.bkp 11-08-2019 00:19:41 11-08-2019 00:28:32 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4062 MB full
1196364229 RMAN:Manthan_rman_MANTHAN_11_08_2019_l6u8t6oq_1_1.bkp 11-08-2019 00:19:41 11-08-2019 00:28:32 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4062 MB full
273617894  RMAN:Manthan_rman_MANTHAN_11_08_2019_l7u8t79r_1_1.bkp 11-08-2019 00:28:46 11-08-2019 01:47:38 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4189 MB full
273617894  RMAN:Manthan_rman_MANTHAN_11_08_2019_l7u8t79r_1_1.bkp 11-08-2019 00:28:46 11-08-2019 01:47:38 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4189 MB full
21959809   RMAN:Manthan_rman_MANTHAN_11_08_2019_l8u8t7em_1_1.bkp 11-08-2019 00:31:21 11-08-2019 00:42:41 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 3296 MB full
21959809   RMAN:Manthan_rman_MANTHAN_11_08_2019_l8u8t7em_1_1.bkp 11-08-2019 00:31:21 11-08-2019 00:42:41 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 3296 MB full
2806978351 RMAN:Manthan_rman_MANTHAN_11_08_2019_l9u8t844_1_1.bkp 11-08-2019 00:42:47 11-08-2019 01:01:45 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4193 MB full
2806978351 RMAN:Manthan_rman_MANTHAN_11_08_2019_l9u8t844_1_1.bkp 11-08-2019 00:42:47 11-08-2019 01:01:45 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4193 MB full
743381928  RMAN:Manthan_rman_MANTHAN_11_08_2019_lau8t97t_1_1.bkp 11-08-2019 01:01:52 11-08-2019 02:10:04 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4189 MB full
743381928  RMAN:Manthan_rman_MANTHAN_11_08_2019_lau8t97t_1_1.bkp 11-08-2019 01:01:52 11-08-2019 02:10:04 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4189 MB full
1850680941 RMAN:Manthan_rman_MANTHAN_11_08_2019_lbu8tbu1_1_1.bkp 11-08-2019 01:47:49 11-08-2019 01:50:10 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 2475 MB full
1850680941 RMAN:Manthan_rman_MANTHAN_11_08_2019_lbu8tbu1_1_1.bkp 11-08-2019 01:47:49 11-08-2019 01:50:10 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 2475 MB full
1716463367 RMAN:Manthan_rman_MANTHAN_11_08_2019_lcu8tc2s_1_1.bkp 11-08-2019 01:50:23 11-08-2019 02:10:22 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4193 MB full
1716463367 RMAN:Manthan_rman_MANTHAN_11_08_2019_lcu8tc2s_1_1.bkp 11-08-2019 01:50:23 11-08-2019 02:10:22 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4193 MB full
508505022  RMAN:Manthan_rman_MANTHAN_11_08_2019_ldu8td8i_1_1.bkp 11-08-2019 02:10:30 11-08-2019 02:32:13 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4194 MB full
508505022  RMAN:Manthan_rman_MANTHAN_11_08_2019_ldu8td8i_1_1.bkp 11-08-2019 02:10:30 11-08-2019 02:32:13 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4194 MB full
491727807  RMAN:Manthan_rman_MANTHAN_11_08_2019_leu8td8j_1_1.bkp 11-08-2019 02:10:31 11-08-2019 02:19:01 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4194 MB full
491727807  RMAN:Manthan_rman_MANTHAN_11_08_2019_leu8td8j_1_1.bkp 11-08-2019 02:10:31 11-08-2019 02:19:01 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4194 MB full
374287840  RMAN:Manthan_rman_MANTHAN_11_08_2019_lfu8tdp0_1_1.bkp 11-08-2019 02:19:36 11-08-2019 06:19:10 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4194 MB full
374287840  RMAN:Manthan_rman_MANTHAN_11_08_2019_lfu8tdp0_1_1.bkp 11-08-2019 02:19:36 11-08-2019 06:19:10 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4194 MB full
256848342  RMAN:Manthan_rman_MANTHAN_11_08_2019_lgu8tek2_1_1.bkp 11-08-2019 02:36:30 11-08-2019 02:44:33 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4191 MB full
256848342  RMAN:Manthan_rman_MANTHAN_11_08_2019_lgu8tek2_1_1.bkp 11-08-2019 02:36:30 11-08-2019 02:44:33 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4191 MB full
3880727514 RMAN:Manthan_rman_MANTHAN_11_08_2019_lhu8tf9f_1_1.bkp 11-08-2019 02:45:06 11-08-2019 02:48:29 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 3216 MB full
3880727514 RMAN:Manthan_rman_MANTHAN_11_08_2019_lhu8tf9f_1_1.bkp 11-08-2019 02:45:06 11-08-2019 02:48:29 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 3216 MB full
3494851780 RMAN:Manthan_rman_MANTHAN_11_08_2019_liu8tfg6_1_1.bkp 11-08-2019 02:49:00 11-08-2019 03:06:17 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4186 MB full
3494851780 RMAN:Manthan_rman_MANTHAN_11_08_2019_liu8tfg6_1_1.bkp 11-08-2019 02:49:00 11-08-2019 03:06:17 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4186 MB full
240072923  RMAN:Manthan_rman_MANTHAN_11_08_2019_lju8tghg_1_1.bkp 11-08-2019 03:06:27 11-08-2019 07:13:37 PRORMANMANTHANDLY.001 PRORMANMANTHANDLY 4194 MB full
240072923  RMAN:Manthan_rman_MANTHAN_11_08_2019_lju8tghg_1_1.bkp 11-08-2019 03:06:27 11-08-2019 07:13:37 RMANMANTHANDLYCLN.001 RMANMANTHANDLYCLN 4194 MB full
2169456159 /backup/manthan/EXPORT            11-08-2019 04:03:03   11-08-2019 14:43:20 PROVSNLFLDLY.001 PROVSNLFLDLY 181 GB full
2169456159 /backup/manthan/EXPORT            11-08-2019 04:03:03   11-08-2019 14:43:20 VSNLWebCLN.001 VSNL Web CLN   181 GB full
